file_path,label
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/go_0113.wav,go
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/yes_0234.wav,yes
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/four_0011.wav,four
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/six_0172.wav,six
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/four_0103.wav,four
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/one_0153.wav,one
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/happy_0052.wav,happy
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/one_0100.wav,one
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/dog_0050.wav,dog
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/left_0195.wav,left
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/yes_0105.wav,yes
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/no_0169.wav,no
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/three_0034.wav,three
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/bird_0072.wav,bird
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/nine_0174.wav,nine
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/two_0132.wav,two
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/wow_0010.wav,wow
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/cat_0143.wav,cat
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/one_0175.wav,one
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/up_0061.wav,up
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/on_0029.wav,on
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/zero_0042.wav,zero
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/down_0140.wav,down
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/go_0126.wav,go
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/eight_0185.wav,eight
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/bird_0132.wav,bird
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/right_0069.wav,right
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/down_0032.wav,down
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/down_0106.wav,down
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/go_0140.wav,go
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/happy_0071.wav,happy
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/seven_0062.wav,seven
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/wow_0146.wav,wow
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/right_0150.wav,right
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/left_0161.wav,left
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/six_0217.wav,six
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/two_0069.wav,two
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/four_0090.wav,four
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/stop_0133.wav,stop
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/up_0182.wav,up
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/happy_0036.wav,happy
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/nine_0070.wav,nine
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/go_0081.wav,go
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/go_0212.wav,go
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/go_0191.wav,go
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/three_0120.wav,three
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/six_0170.wav,six
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/marvin_0062.wav,marvin
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/dog_0011.wav,dog
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/happy_0035.wav,happy
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/four_0102.wav,four
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/stop_0027.wav,stop
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/wow_0058.wav,wow
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/on_0175.wav,on
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/no_0104.wav,no
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/left_0118.wav,left
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/zero_0036.wav,zero
/home/melan/supervised-vs-SSL/data/preprocessed/10s_speech/four_0097.wav,four
